Что	Предмет или склад	Комиссия % · Хранение 1-й литр ₽/сутки	Хранение доп. литр ₽/сутки	Логистика 1-й литр ₽	Логистика доп. литр ₽	Обновлено	Логистика FBS 1-й литр ₽	Логистика FBS доп. литр ₽	Страна склада
FBO	Куртки	37,5				2026-09-14		
FBO Блузки	Блузки	43,5				2026-09-14		
FBO Брюки	Брюки	43,5				2026-09-14		
FBO Брюки спортивные	Брюки спортивные	43,5				2026-09-14		
FBO Джемперы	Джемперы	43,5				2026-09-14		
FBO Кардиганы	Кардиганы	41,5				2026-09-14		
FBO Костюмы	Костюмы	43,5				2026-09-14		
FBO Куртки	Куртки	37,5				2026-09-14		
FBO Лонгсливы	Лонгсливы	43,5				2026-09-14		
FBO Ночные сорочки	Ночные сорочки	43,5				2026-09-14		
FBO Пижамы	Пижамы	43,5				2026-09-14		
FBO Платья	Платья	43,5				2026-09-14		
FBO Рубашки	Рубашки	43,5				2026-09-14		
FBO Свитеры	Свитеры	37,5				2026-09-14		
FBO Свитшоты	Свитшоты	43,5				2026-09-14		
FBO Толстовки	Толстовки	40,5				2026-09-14		
FBO Топы	Топы	43,5				2026-09-14		
FBO Топы спортивные	Топы спортивные	43,5				2026-09-14		
FBO Худи	Худи	39,5				2026-09-14		
FBS	Куртки	42				2026-09-14		
FBS Блузки	Блузки	48				2026-09-14		
FBS Брюки	Брюки	48				2026-09-14		
FBS Брюки спортивные	Брюки спортивные	48				2026-09-14		
FBS Джемперы	Джемперы	48				2026-09-14		
FBS Кардиганы	Кардиганы	46				2026-09-14		
FBS Костюмы	Костюмы	48				2026-09-14		
FBS Куртки	Куртки	42				2026-09-14		
FBS Лонгсливы	Лонгсливы	48				2026-09-14		
FBS Ночные сорочки	Ночные сорочки	48				2026-09-14		
FBS Пижамы	Пижамы	48				2026-09-14		
FBS Платья	Платья	48				2026-09-14		
FBS Рубашки	Рубашки	48				2026-09-14		
FBS Свитеры	Свитеры	42				2026-09-14		
FBS Свитшоты	Свитшоты	48				2026-09-14		
FBS Толстовки	Толстовки	45				2026-09-14		
FBS Топы	Топы	48				2026-09-14		
FBS Топы спортивные	Топы спортивные	48				2026-09-14		
FBS Худи	Худи	44				2026-09-14		
Склад	SC Tbilisi 2 Bond	0	0	59,8	18,2	2026-09-14			СНГ
Склад	Актобе	0,1	0,1	66,7	20,3	2026-09-14			СНГ
Склад	Астана Карагандинское шоссе	0,1	0,1	66,7	20,3	2026-09-14	66,7	20,3	СНГ
Склад	Атакент	0,08	0,08	62,1	18,9	2026-09-14	62,1	18,9	СНГ
Склад	Маркетплейс: Армения СГТ					2026-09-14	46	14	СНГ
Склад	Маркетплейс: Беларусь					2026-09-14	71,3	21,7	СНГ
Склад	Маркетплейс: Беларусь СГТ					2026-09-14	46	14	СНГ
Склад	Маркетплейс: Грузия					2026-09-14	46	14	СНГ
Склад	Маркетплейс: Грузия СГТ					2026-09-14	46	14	СНГ
Склад	Маркетплейс: Казахстан					2026-09-14	66,7	20,3	СНГ
Склад	Маркетплейс: Казахстан СГТ					2026-09-14	46	14	СНГ
Склад	Маркетплейс: Кыргызстан					2026-09-14	71,3	21,7	СНГ
Склад	Маркетплейс: Кыргызстан СГТ					2026-09-14	46	14	СНГ
Склад	Маркетплейс: Узбекистан					2026-09-14	71,3	21,7	СНГ
Склад	СК Великий Камень	0,14	0,14	92	28	2026-09-14			СНГ
Склад	СК Ереван	0,11	0,11	71,3	21,7	2026-09-14			СНГ
Склад	СЦ Ереван	0,11	0,11	71,3	21,7	2026-09-14	71,3	21,7	СНГ
Склад	СЦ Тбилиси 3 Бонд	0	0	59,8	18,2	2026-09-14			СНГ
Склад	Свой склад РФ					2026-09-14	78,2	23,8	Россия
Склад	Свой склад СГТ РФ					2026-09-14	46	14	Россия
Склад	Ташкент	0,07	0,07	46	14	2026-09-14	46	14	СНГ
Склад	Ташкент 2	0,07	0,07	46	14	2026-09-14			СНГ
Выкуп	Блузки-Рубашки	37,8	34,8			2026-09-14		
Выкуп	Брюки	33,5	29,9			2026-09-14		
Выкуп	Кардиганы	42,9	39,9			2026-09-14		
Выкуп	Костюмы	29,3	28,1			2026-09-14		
Выкуп	Куртки	31,0	28,0			2026-09-14		
Выкуп	Лонгсливы	45,1	43,0			2026-09-14		
Выкуп	Ночные сорочки	52,2	51,2			2026-09-14		
Выкуп	Пижамы	52,2	51,2			2026-09-14		
Выкуп	Платья	24,0	20,0			2026-09-14		
Выкуп	Свитеры	41,6	38,8			2026-09-14		
Выкуп	Свитшоты	40,9	37,9			2026-09-14		
Выкуп	Толстовки	40,9	37,9			2026-09-14		
Выкуп	Топы	45,6	43,0			2026-09-14		
Выкуп	Худи	40,0	37,0			2026-09-14		
